Node_Type|Node_Name|Description
MainGoal|SI-4 Main|Monitor the system to detect attacks
ReqGoal|SC-5 Req|Configure to enabling measures on detecting attack type
ReqGoal|SC-5(3) Req| Generate report on detecting attack type
ReqGoal|SI-4 Req|Monitor network traffic to detect DDoS
MainGoal| SC-5 Main|denial-of-service events
opGoal| G-1|  Change configuration  to  enable measures as per consequence 
opGoal| G-2| Build a DL  model to detect DDoS attack
opGoal| G-3| Evaluate DL model's performance 
opGoal| G-4| Employ deep learning model to detect DDoS attack
opGoal| G-29| Generate consequence report on detecting attack type 
opGoal| G-5| Feed Network traffic data to DL model
opGoal| G-6| Receive Network traffic data to analyze
opGoal| G-7| Preprocess Network traffic data to analyze
opGoal| G-8| Execute DL  model
opGoal| G-9|Record DL model prediction
opGoal| G-10|Monitor UDP network traffic in between physical and edge layer
opGoal| G-11|Monitor HTTP network traffic in between Cloud and Application layer 
opGoal| G-12|Monitor TCP network traffic in between edge and cloud layer 
opGoal| G-13|Transmit  sensor data reading to edge layer 
opGoal| G-30|Read new sensor data in a regular manner
opGoal| G-14|Record transmitted sensor data reading 
opGoal| G-15|Activate actuators as per trigger
opGoal| G-16|Transmit trigger flag to actuator
opGoal| G-17|Transmit  analysis result to application layer 
opGoal| G-18|Show  analysis result in application layer
opGoal| G-19|Transmit trigger flag to cloud layer
opGoal| G-20|Set the trigger flag by application user
opGoal| G-21|Record aggregared sensor data at Cloud layer
opGoal| G-22|Transmit  aggregated sensor data to Cloud layer
opGoal| G-23|Transmit trigger flag to edge layer
opGoal| G-24|Set the trigger flag by ML model
opGoal| G-25| Employ ML model to predict actuator trigger decision based on sensor data
opGoal| G-26| Feed sensor data to machine learning model to analyze
opGoal| G-27| preprocess sensor data for machine learning model to analyze
opGoal| G-28| Execute Machine learning model
Solution|Sn1|Log of configuration change event
Solution| Sn2|Instances of consequence report
Solution| Sn3|Existence of DL model to detect DDoS attack
Solution| Sn4| DL model's performance matrix 
Solution| Sn5|DL Model's Prediction to detect attack type
Solution|Sn6|Record of network traffic packet's UDP attributes 
Solution| Sn7|sensor status 
Solution| Sn8|Log of sensor data record
Solution| Sn9|actuator status 
Solution| Sn10|Log of actuator trigger decision record
Solution| Sn11|Record of network traffic packet's HTTP attributes 
Solution| Sn12| Application dashboard
Solution| Sn13|Log of  aggregate sensor data record 
Solution| Sn14|Record of network traffic packet's TCP attributes 
Solution| Sn15|Model's Prediction to predict actuator's trigger decision
Strategy| S1 | Argument over ProtectionControlConfiguration
Strategy| S2 | Argument over GenerateAttackStatus&ConsequenceResult process
Strategy| S3 | Argument over FeedNetworkTrafficDataToDLModel
Strategy| S4 | Argument over ReceivedNetwokTrafficData
Strategy| S5 | Argument over PreprocessNetworkTrafficData
Strategy| S7 | Argument over ExecuteDLModel
Strategy| S8 | Argument over GetDLModelPrediction
Strategy| S9 | Argument over DL model pipeline for network traffic monitor at cloud layer
Strategy| S10| Argument over CollectNetworkTrafficData at network layer
Strategy| S11| Argument over SendSensorDataToEdge at Physical layer
Strategy| S12| Argument over CollectSensorData at Edge layer
Strategy| S13| Argument over TriggerActuatorToActivate at Physical layer
Strategy|S14| Argument over SendTriggerToActuator at Edge layer
Strategy| S15| Argument over ReadSensor at Physical layer
Strategy| S16| Argument over ReceivedSensorData at Cloud layer
Strategy|S17| Argument over SendSensorDataToEdge at Edge layer
Strategy| S18| Argument over DecidetoTriggerActuator at Cloud layer
Strategy| S19| Argument over GetMLModelPrediction at Cloud layer
Strategy| S20| Argument over FeedSensorDataToMLModel at Cloud layer
Strategy| S21| Argument over PreprocessedSensorData at Cloud layer
Strategy| S22| Argument over ExecuteMLModel at Cloud layer
